,F1 Score
Logistic_L2,0.7332209106239459
Logistic_L1,0.7332209106239459
Logistic_ElasticNet,0.7332209106239459
RandomForest,0.7944650691866353
XGBoost,0.8025736539112766
SVM,0.7448125227520932
