,F2 Score
Logistic_L2,0.6738995660260385
Logistic_L1,0.6738995660260385
Logistic_ElasticNet,0.6738995660260385
RandomForest,0.7298772169167803
XGBoost,0.7357506519309572
SVM,0.6518414680769722
